,text,user
146,@realDonaldTrump Can you stop lying for just a second?,engodoy1
147,"RT @itsJeffTiedrich: @realDonaldTrump fact check: raise your hand if you make less than $400,000.00 a year. congratulations, Joe Biden is n…",keolaokalanii
148,@realDonaldTrump How many guns have Democrat presidents taken? Zero. How many election cycles has the @GOP claimed… https://t.co/Nw7bt7aL3Q,GOPInsideher
149,"@realDonaldTrump Correction: Biden wants to raise YOUR taxes. Mine, and millions of Americans making less than $400… https://t.co/J204dZPSk0",Deadeye_Badger
150,"@realDonaldTrump Start packing, gorilla tits.",ChuckMcArthur
151,@realDonaldTrump #trumpownedbychina. So how much tax did you pay in China on your hidden bank accounts?,buzzearth
152,@realDonaldTrump Your lying has really become very old and boring.,RonRuggiero105
153,"@realDonaldTrump How many normal people earn over $400,000 a year?  Me thinks Crazy Uncle Trump is scared that he m… https://t.co/JzIc01J4u9",PamAlderton
154,@realDonaldTrump When will the interview with Lesley Stahl be posted? 🇺🇸 @PressSec @MarkMeadows,donnamaymccoy
155,@realDonaldTrump @POTUS @foxandfriends Fake news,PimpSpaceX
156,@realDonaldTrump YOUR WELCOME MR. PRESIDENT,newton_lyman
157,@realDonaldTrump https://t.co/IGem17RqnL,mav_lt
158,RT @onepeacespoon: @realDonaldTrump @BreitbartNews https://t.co/F6GH2QYIIo,BodkinMagalie
159,RT @HKrassenstein: @realDonaldTrump @BreitbartNews Trump must answer questions about his Chinese Bank Accounts in which he withdrew $15 mil…,Linda24867736
160,@realDonaldTrump @BreitbartNews #TrumpChinaBankAccount,skepdiq
161,@realDonaldTrump https://t.co/i7UWoOkVeG,lshort811
162,RT @JackPolakoff: @realDonaldTrump TRUMP ALREADY RAISED YOUR TAXES.  His #GOPTaxScam includes fading deductions used mostly by the middle c…,wt4_ward
163,RT @scientificrealm: @realDonaldTrump @BreitbartNews https://t.co/fj2U8l13Gt,85awsom
164,RT @HKrassenstein: @realDonaldTrump @BreitbartNews Trump must answer questions about his Chinese Bank Accounts in which he withdrew $15 mil…,HENRY30126252
165,@realDonaldTrump This moron is full of crap!!!  BIDEN WILL BRING AMERICA BACK❣❣❣  DONALD TRUMP SQUASHED AMERICA‼️,familywithlove4
166,"@realDonaldTrump You will win the votes of Nigerian Americans if you sanction the President of Nigeria , election i… https://t.co/zkX4vRubCR",bolios_dimitry
167,@realDonaldTrump Some have said there is virtually no election fraud in the United States. Others have said the onl… https://t.co/dA3vcUrLNS,petertregan
168,@realDonaldTrump #TRUMP2020,WkyTngo
169,@realDonaldTrump Right. Because most of us make 400K 🙄🙄🙄🙄,girlbos
170,RT @davidmweissman: @realDonaldTrump https://t.co/b3xViFYcVN,DmarieNJ
171,"@realDonaldTrump Remember Trump is going to take away healthcare from 30 million people, not cover pre-existing con… https://t.co/XLN34VRFhD",evofins1
172,@realDonaldTrump #TrumpSuperSpreader  #TrumpIsKillingAmericans  #TrumpVirusDeathToll224K  #TrumpRuinedTheEconomy… https://t.co/uoZL9Qes60,sevenheismans
173,"@realDonaldTrump This is a straight-up lie. Biden won't raise taxes at all on people who make &lt;400K, and his propos… https://t.co/PgvzwrAHDh",aquapt
174,@realDonaldTrump Donald Trump is the biggest and dumbest president ever!!! 🤮🤮🤮 https://t.co/ryZxR5RltE,HoppersMaria
175,@realDonaldTrump This again? Boooooooring,UncertaintyPri1
176,@realDonaldTrump https://t.co/q8Yl5mqLwX,kaur_jeeto
177,"@realDonaldTrump Trump prefers his interviewers to be obsequious sychophants. That way, he can avoid talking about… https://t.co/gRlYebbDIo",RosBibb
178,@realDonaldTrump California is corrupt because of Rigged Politics. Please vote in person.,PREETIMATHUR18
179,@realDonaldTrump Remember that crazy Uncle Donnie is a non-stop liar.  Joe Biden will NOT raise your taxes if you m… https://t.co/dE4cwqX7RL,mtnsuz8
180,"@realDonaldTrump You're going to JAIL, spray tanned, anus mouthed, #traitor #RussianAsset  clown.  #RemovetRump… https://t.co/Jy8d6uTSs7",farothaiwe
181,@realDonaldTrump Pay your taxes....people on unemployment pay more than you do,johnny_soulless
182,@realDonaldTrump @BreitbartNews The smell of desperation!! #TrumpChinaBankAccount #ByeDon2020 #TrumpForPrison2020,mom_row
